date,user_id,IP in SH(1) or CQ(0),weibo_id,comment_content_process,bert
2022-03-17,5287998142,0,LkbLRo7Es,普京 谈 所谓 第五 纵队 和 民族 叛徒 他们 自身 就是 西方 的 耗材 当地 时间 3月 16日 俄罗斯 总统 普京 召开 了 社会 经济 发展 和 支持 地区 措施 大会 会 中 普京 提到 了 关于 所谓 的 第五 纵队 和 民族 叛徒 这些 人 准备 卖掉 自己 的 母亲 只是 为了 能够 被 允许 坐 在 上层 阶级 的 大厅 里 成为 所谓 的 高种 姓 但 事实上 他们 自身 就是 西方 的 耗材 用于 对 我们 的 人民 造成 巨大 伤害 http t cn A66MGhi4 赞 792 原文 转发 68 原文 评论 77 转发 理由 这种 人 中国 一大 把 啊,0.269831
2022-03-17,6103005527,1,Lk4A4uU0G,美国 财政部 宣布 美国 已经 与 英国 法国 德国 意大利 加拿大 澳大利亚 日本 等 盟国 共同 成立 一个 小组 专职 搜索 扣押 俄罗斯 寡头 的 海外 财产 并 起诉 他们 原图 赞 1672 原文 转发 118 原文 评论 261 转发 理由 美国 叫 良心 企业家 俄罗斯 叫 邪恶 寡头 美国 太 擅长 通过 舆论 塑造 标签 即使 前 苏联 贴脸 亲 西方 休克 了 全面 私有化 了 出来 的 东西 就是 要 贴 一个 跟 美国 不 一样 的 标签,0.85411155
2022-03-17,6103005527,1,Lk4CahAqX,海牙 国际 法院 要求 俄罗斯 终止 在 乌 特别 军事 行动 据 俄新社 报道 联合国 海牙 国际 法院 已 裁定 俄罗斯 必须 停止 在 乌克兰 的 特别 军事 行动 原图 赞 2050 原文 转发 37 原文 评论 330 转发 理由 擦 屁股 纸,0.8348569
2022-03-17,6103005527,1,Lk8gHyWlz,央媒 全都 开始 发布 乌克兰 方面 的 战报 了 乌克兰 这 牛 吹 大 了 这 让 小 粉红们 情何以堪 啊 不过 我 可以 安慰 小 粉红们 一下 央视 发 乌克兰 方面 的 战报 不 等于 认可 它 就是 事实 我 给 大家 说 一下 美国 情报 部门 的 俄 乌 战争 俄军 战损 信息 据 美国 情报 部门 说 保守 估计 俄军 7000 人 以上 被 打死 在 乌军 远弱 于 俄军 的 条件 下 这 已经 是 很 可观 的 战绩 了 http t cn A66MtB9k 赞 3073 原文 转发 392 原文 评论 82 转发 理由 右边 的 表达 这 战报 跟 颜色 有 什么 关系 而且 我 印象 里 台🐸 最 喜欢 叫 国内 爱国 网友 为 小 粉红 而且 为啥 叫 粉红 明明 我们 的 国旗 是 血红色 的 为了 证明 自己 正确 采用 🐸 的 表达 方式 来 贬低 反对 自己 的 人 这 脑子 属实 不 太 清醒,0.17352167
2022-03-17,6103005527,1,Lk8kGh1V8,抱歉 作者 已 设置 仅 展示 半年 内 微博 此 微博 已 不可 见 赞 0 原文 转发 0 原文 评论 0 转发 理由 查看 图片,0.0924696
2022-03-17,6103005527,1,Lk8os5zO2,抱歉 作者 已 设置 仅 展示 半年 内 微博 此 微博 已 不可 见 赞 0 原文 转发 0 原文 评论 0 转发 理由 如果 傀儡 政权 能 重创 俄军 那 优势 在 我 的 常凯申 第一 个 表示 不服,0.0854999
2022-03-17,3215131980,1,Lk8Hy6Fih,抱歉 作者 已 设置 仅 展示 半年 内 微博 此 微博 已 不可 见 赞 0 原文 转发 0 原文 评论 0 转发 理由 转发 微博,0.034407664
2022-03-17,6103005527,1,LkaVaENyH,抱歉 由于 作者 设置 你 暂时 没有 这 条 微博 的 查看 权限 哦 查看 帮助 http t cn RfdBWwP 赞 0 原文 转发 0 原文 评论 0 转发 理由 一天天 净 干 这种 阴间 的 事情,0.10018959
2022-03-17,3349544382,1,Lk6QxiPvR,请 支持 低谷 中 的 国足 这 和 强迫 别人 反思 有 什么 区别 我 就 不 支持 我 就 批评 怎么 了 这么 搞笑 的 吗,0.91692424
2022-03-17,3349544382,1,Lk7jGauRg,嘲讽 中国 足球 也 该 有 底线 我 天天 嘲讽 了 怎么样 嘛 犯法 吗,0.85298836
2022-03-17,3771657482,1,LkagDjb7i,抱歉 作者 已 设置 仅 展示 半年 内 微博 此 微博 已 不可 见 赞 0 原文 转发 0 原文 评论 0 转发 理由 转发 微博,0.0586327
2022-03-17,6510420346,1,Lkaht1Yot,谁 洗 了 你 的 脑 中国 那 美国 好 还是 中国 好 当然 是 美国 好 那 谁 洗 了 你 的 脑 中国 深 爱 着 美国 的 公知 及其 脑残粉 都 无一例外 的 声称 自己 被 中国 洗 了 脑 你 说 滑稽 不 滑稽 原图 赞 4558 原文 转发 370 原文 评论 331 转发 理由,0.9584263
2022-03-17,6264321611,1,Lk4i25Xfn,抱歉 作者 已 设置 仅 展示 半年 内 微博 此 微博 已 不可 见 赞 0 原文 转发 0 原文 评论 0 转发 理由 我 觉得 我 的 华为 mate40pro 5G 夏日 胡杨 还 能 再 坚持 几 年,0.060420763
2022-03-17,6463855622,1,LkbsJ0gZi,看看 北约 是 怎么 不断 扩张 的 孤烟暮蝉 的 微博 视频 赞 1054 原文 转发 265 原文 评论 95 转发 理由 转发 微博,0.048486717
2022-03-17,2786215997,1,LkcHspoPq,刘涛 工作室 辟谣 离婚 好像 艺人 辟谣 的 最后 都 是 真实 的,0.0665153
2022-03-17,6103005527,1,Lk8m12u5I,我 觉得 解放 台湾 以后 也 不要 搞 什么 基建 就 保持 台湾 现在 的 原貌 让 大陆 游客 可以 去 台湾 找寻 童年 的 回忆 我 小时候 家里 就 经常 停电 原图 赞 1961 原文 转发 99 原文 评论 271 转发 理由 还 别 说 人家 在 做 压力 测试 等 解放 台湾 之 战 打响 的 时候 它们 就 会 对 停电 无感 了,0.03326227
2022-03-17,3215131980,1,Lk8sazv05,抱歉 作者 已 设置 仅 展示 半年 内 微博 此 微博 已 不可 见 赞 0 原文 转发 0 原文 评论 0 转发 理由 转发 微博,0.049124308
2022-03-17,6103005527,1,Lk47VmCB9,kefu weibo com faqdetail id 13216 赞 0 原文 转发 0 原文 评论 0 转发 理由 蛙类 蹲井 里 夜观 天象 算 出来 的,0.061399125
2022-03-17,3215131980,1,Lk8df6R4H,微博 渔场 我 刚刚 在 的 渔场 捞到 了 9鱼币 运气 爆棚 嘘 微博 渔场,0.07610188
2022-03-17,6242457186,1,Lk6d5saEM,想 不 起来 这是 什么 歌 了 感觉 听 过 又 好像 没 听 过 呢 怎么 春日 欢乐 创作营 喜脉 洗脉 的 微博 视频 赞 26487 原文 转发 10625 原文 评论 2859 转发 理由 曹操 的 冬天 冬天 里 的 曹操,0.074921876
2022-03-17,3215131980,1,Lk3wJBW9G,日本 地震 日本 接连 发生 2 次 强烈 地震 当地 时间 23时 34分 日本 福岛县 宫城县 海岸 附近 发生 6 级 强烈 地震 目前 日本 气象厅 已 向 上述 两 个 地区 太平洋 沿岸 地区 发出 海啸 预警 海啸 预计 高度 约 1 米 记者 所在 的 东京 地区 震感 强烈 人民日报 记者 岳 林炜 沸点 壹刻 的 微博 视频 赞 111874 原文 转发 10127 原文 评论 16253 转发 理由 转发 微博,0.051690478
